Province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,urbanization_rate,share1,axfin_p,axfin_r,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,finance_pre,prepare_scaleup,rating,borrow_abi,avg_prod_k,pe,protection,tau_tax
Bohol,272951,78.22296492720628,224.89207501477603,0.3057509,180.0478626033025,0.04802588221197052,0.15500591041499556,0.1380023750803216,0.3277312195827249,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Bukidnon,291073,78.06423230374295,209.47389468214405,0.4148774,154.9549956197152,0.06386220602848626,0.2130430442773012,0.08748279611687304,0.09708349291220753,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Bulacan,710908,101.5324967587854,293.50470803278813,0.0535976,283.21545824180856,0.0,0.15943847028485222,0.15132723732958844,0.18445087373152638,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Cagayan,265428,84.3379001665134,213.96610821924497,0.1515935,194.31531446180324,0.03660809702512613,0.07915502839811538,0.09209980061998387,0.16505190490225702,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Camarines Norte,122835,88.82260132018152,189.4534566609824,0.2170643,167.61009048803018,0.03236695045568766,0.12888366676371502,0.18779738410323188,0.18591028482148728,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Camarines Sur,383327,92.94640543029585,215.63893477588044,0.3172596,176.713551992712,0.035744239972371604,0.12151861008050804,0.17901383863276676,0.22941208513897615,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Camiguin,18995,96.20523191380195,219.2762802035896,0.4104105,168.76662973945372,0.0,0.059916063934279847,0.13798056528896288,0.2032505166190428,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Capiz,166428,85.33278461621302,248.3915829369223,0.2231767,212.00065842174084,0.0,0.08277062304211626,0.12458610950924612,0.30602262850808715,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Catanduanes,51389,73.4070479201092,198.75256459662137,0.2708495,164.8027940775464,0.274732380199727,0.29601558538603184,0.21419689617654056,0.19096191351561398,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Cavite,782511,98.87756467997798,310.5756049173212,0.0255369,305.1694932335842,0.0,0.2527916971026676,0.1010196233141053,0.19710243809770311,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Cebu,983408,81.29791925777062,261.91609483508523,0.188734,227.82730408567633,0.06413150649504588,0.18562282058545562,0.13361732101702944,0.20434179006640446,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Compostela Valley,159581,84.0196542266187,224.18854450398996,0.3066043,181.21216001871974,0.18294228253760628,0.14251760006506828,0.0921873481184648,0.09595660839353884,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Cotabato,293837,68.46911614950207,215.79078875220551,0.4483559,149.7382476429151,0.0479338717512752,0.13783360272434514,0.1303305820844122,0.12634736347654563,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Cotabato City,62429,103.14817406634192,195.44622987718353,0.3452713,163.5783601599017,0.06147065646021805,0.0796839066399178,0.14273555976135227,0.1696914257007913,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Davao,226916,89.16260085405263,212.90348833782417,0.267289,179.82891026317435,0.17575677636351644,0.28131164894384836,0.10047005287986746,0.15066891861429288,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Davao del Sur,570933,76.83857947484817,249.41700390384807,0.1995817,214.97350857298676,0.03666584757959771,0.1589789599220981,0.09929851321684963,0.17256739566359452,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Davao Oriental,120320,78.41508870985494,178.7028994658833,0.3775709,140.83714049969998,0.07959673336415066,0.17575110161570304,0.14473750289967358,0.1740724323477431,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Eastern Samar,94156,72.19684222728928,196.978667667453,0.5542831,127.8142106388202,0.04882254881296825,0.1419686896847523,0.167961300839374,0.274305109652464,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Guimaras,37452,92.16500914105596,248.17696939595592,0.1694163,221.74600033382373,0.0,0.033529430674767734,0.1418866483216505,0.2766414798310448,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Ifugao,41494,79.30760642140469,316.21209226190473,0.3603031,230.85467160966647,0.11197324414715719,0.1259418324291742,0.127762997552135,0.07848106893964787,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Ilocos Norte,133798,80.62314334136117,270.862299925767,0.083793,254.9215902780899,0.0,0.17021380733683017,0.22191834816764777,0.3255040139593034,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Ilocos Sur,152112,75.8221615914967,255.51006569532186,0.137304,230.83819771025026,0.0,0.10577853642924093,0.11524664621805784,0.2510494156213512,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Iloilo,494012,81.11439258093351,289.50620427116144,0.2083429,246.08924988736547,0.015234541992149547,0.15150042957083829,0.1428375088969309,0.2712553530188997,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Isabela,357627,87.82874981646258,211.37736001533565,0.19043979999999996,187.84878739878434,0.01604851261269198,0.06234780896722517,0.10562873671941533,0.15479544905348422,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Isabela City,22158,100.91657509477982,222.52557253457204,0.1547324,203.70872049911915,0.07990667833187519,0.11687756954455657,0.1196844024002848,0.07708838883407867,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Kalinga,40658,80.65555800518746,225.65040645201393,0.20861720000000003,195.40198715461264,0.2225890120254657,0.21525360517155645,0.1239125447388509,0.11519985986340482,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
La Union,172794,70.32231853165321,236.04208559143606,0.1533975,210.62108762388303,0.0,0.10158727988625178,0.11414159411796382,0.26516174272629905,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Laguna,679210,97.44907819414817,301.5304930912425,0.0462429,292.09317663029765,0.0837657996115763,0.2717269655341687,0.0882581230781723,0.18508136534855105,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Lanao del Norte,201860,66.6821074725012,275.1951062256809,0.4143466,188.79845413649667,0.03862984218077475,0.27145998984943326,0.14271056200380192,0.2519750260567951,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Lanao del Sur,149982,89.66469527272007,212.89135170079123,0.6730544,129.95310839458966,0.02053573197551166,0.12641732604617015,0.07863857802045364,0.09237999703560196,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Leyte,408401,75.6982171150593,242.29813105080535,0.3140853,189.97154710232238,0.067847481543271,0.20187914096413068,0.15857161151261,0.2095507574028785,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Maguindanao,161059,84.93135318906606,136.020116586358,0.5451403,108.16957278132925,0.08258542141230069,0.06900176087579683,0.08404659088464612,0.13895128289561892,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Manila,399003,136.9159917032699,385.4746798627359,0.0359479,376.5395169966482,0.0,0.19502937659231528,0.12770775745838128,0.148081425335857,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Marinduque,53412,79.7805696460802,206.29932705500502,0.2385761,176.11497533553765,0.1568704386722122,0.13172195037989623,0.1542804147866543,0.23723002052799763,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Masbate,179704,83.88989665720203,165.61549354868916,0.405685,132.46064477376618,0.15349162585901815,0.1527996254681648,0.17714824964871265,0.14261762578512702,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Misamis Occidental,131488,74.97652820628308,171.9224475730051,0.3377106999999999,139.18277328152584,0.10746537552077469,0.09683864818621316,0.12295992367972197,0.18078810659626793,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Misamis Oriental,332788,79.70204754932061,279.3890594188098,0.1908518,241.2784337668964,0.015508636027270008,0.15906044007055983,0.13952501278701399,0.1599408089103435,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Mountain Province,34301,103.57907500521594,199.78927397426563,0.2794769,172.90074581801244,0.056645107448362195,0.10965444687221818,0.10466988781377896,0.14966559843120392,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
NCR-2nd Dist.,1049727,100.63089611768274,411.987638018535,0.0188449,406.12015135308764,0.1272874330199171,0.2817898043099389,0.12327646547511799,0.1315159314662563,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
NCR-3rd Dist.,661591,104.82467995182306,309.8285323265846,0.0276092,304.16853996559934,0.032574181539472245,0.19606730657132865,0.1515037070515854,0.16262342963468024,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
NCR-4th Dist.,806828,123.2264576186925,415.7507970256424,0.0299173,406.99925860630276,0.04693843731875052,0.23335420153572933,0.0981544442086107,0.1526721402428473,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Negros Occidental,661738,74.8561867787849,206.71811029719547,0.2490811,173.8737973391139,0.08307548566366957,0.1939156228869498,0.1282870148860177,0.23585832222813422,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Negros Oriental,298807,63.80098416808182,254.91962650904532,0.4394718,170.92837274590588,0.07808585331678305,0.15837363424682072,0.1594269982178859,0.2518601877874853,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Northern Samar,118770,80.71985405415869,212.9239689898222,0.434986,155.4170298504177,0.05346185858351238,0.17175555456211722,0.12288401961501488,0.1688928332735196,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Nueva Ecija,464189,92.82441373069499,235.1840301832873,0.1964032,207.2241459612255,0.0210490522990523,0.10271271590607499,0.10728498821167907,0.20023316555340334,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Nueva Vizcaya,101443,77.16578224488461,246.205641306619,0.150795,220.71527575940476,0.059031182584820555,0.12016808673647064,0.11149138493419646,0.18430755243039687,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Occidental Mindoro,104345,72.34070038622465,229.90789755032412,0.2977628,182.99024773458981,0.1334084325716125,0.14415557830092118,0.15361131586632637,0.14605282632944397,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Oriental Mindoro,182397,78.7653092534121,207.5621342532751,0.2153085,179.8310830577921,0.09609900183336728,0.1256593886462882,0.17737811335958745,0.2366695102841177,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Palawan,233128,74.5974588937775,215.46470306583674,0.2047371,186.62395200905746,0.05487115021998743,0.15849146161231512,0.14014327451761344,0.18120938023222233,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Pampanga,523257,112.66825172910157,312.38010583417883,0.0544347,301.50885096952516,0.07035775725871572,0.22231766422649532,0.1319795186072831,0.271894777607589,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Pangasinan,646070,90.23663691225589,201.3999616118234,0.1487597,184.8633387785131,0.04912131017906752,0.08907904378674124,0.12654975576080477,0.2567798026250148,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Quezon,463303,83.96952883992223,176.91963236262086,0.2031569,158.03617747627032,0.1375328028218395,0.21327865344453503,0.10510077668332883,0.2059395565160699,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Quirino,42119,109.44218974516426,210.81016756073586,0.1546661,195.13197776711488,0.0,0.07706782755231006,0.04428545028793288,0.13840235739817902,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Rizal,611020,90.1759993500796,391.2924351543395,0.0503628,376.1273683212167,0.031976082929841096,0.21973228642285095,0.13544420555907752,0.17799817177109617,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Romblon,64792,76.34886070865743,173.0215083998227,0.3036073,143.67098685045679,0.07747445478114992,0.05305851063829787,0.171671866871602,0.2169361290100102,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Samar (Western),151139,65.43542740009431,171.80541380763916,0.4349463,125.54018178862724,0.02170771407274442,0.054401536263787735,0.15684066490398307,0.14851054811049763,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Sarangani,115139,71.29740240081536,193.14573074633591,0.4601569999999999,137.07636951984622,0.1975765354271262,0.2251234776453175,0.13026098315484627,0.12993644095372925,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
Siquijor,22141,76.92299022372626,281.72514272975866,0.2402308,232.52535779151248,0.07219402143260012,0.06640114136250148,0.15036479290034468,0.23542287175557208,0.4437300000000001,0.0589,0.0353108,0.22188520000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,-0.011161386966705322,20.0,0.22593539358259748
