<<<<<<< HEAD
country,vp,vr,v
Luxembourg,0.3,0.2597724,
"Macao SAR, China",0.3,0.2575,
"Macedonia, FYR",0.3,0.204597,0.2097583023
Madagascar,0.3,0.542447212715,0.526688143888
Malawi,0.3,0.542447212715,0.529330818507
Malaysia,0.3,0.246692046881,0.249112227953
Maldives,0.3,0.5445,0.52858305
Mali,0.64684855,0.1,0.143583829435
Malta,0.3,0.307,
Marshall Islands,0.3,0.26392675,
Mauritania,0.5845951,0.1,0.12917262502
Mauritius,0.3,0.3,0.3
Mexico,0.3,0.42153845,0.41563168133
"Micronesia, Fed. Sts.",0.3,0.5445,0.54061245
Middle East & North Africa (all income levels),,,
Middle East & North Africa (developing only),,,
Middle income,,,
Moldova,0.648346750981,0.428221628391,0.446910251299
Monaco,0.3,0.307,
Mongolia,0.3,0.159531241181,0.169504523057
Montenegro,0.3,0.540973960825,0.521093609057
Morocco,0.3,0.3091521875,0.308555464875
Mozambique,0.3,0.345,0.3426465
Myanmar,0.3,0.316,
Namibia,0.466403415957,0.7,0.692127795118
Nepal,0.3,0.498281375,0.481883505287
Netherlands,0.3,0.2596299,0.2630209884
New Caledonia,0.3,0.285,
New Zealand,0.3,0.2447021425,
Nicaragua,0.3,0.421042167331,0.415425810767
Niger,0.7,0.103779625,0.1572009706
Nigeria,0.593739601658,0.7,0.694272564529
North America,,,
Northern Mariana Islands,0.3,0.5445,
Norway,0.3,0.159531241181,0.172173429475
OECD members,,,
Oman,0.3,0.3,
Other small states,,,
Pacific island small states,,,
Pakistan,0.3,0.6201834,0.58947781194
Palau,0.3,0.5445,
Panama,0.605685096709,0.7,0.696981923095
Papua New Guinea,0.3,0.6386,
Paraguay,0.7,0.37219015,0.38549922991
Peru,0.3,0.213228,0.2168897784
Philippines,0.99,0.99,1.98462790729
Poland,0.3,0.159531241181,0.170614226252
Portugal,0.105,0.1,
Puerto Rico,0.3,0.312249342304,
Qatar,0.3,0.3,
Romania,0.3,0.425110175,0.413962858407
Russian Federation,0.3,0.219220345027,0.224438710739
Rwanda,0.63,0.7,0.696388
Samoa,0.3,0.5445,
San Marino,0.3,0.307,
Sao Tome and Principe,,,
Saudi Arabia,0.3,0.3,
Senegal,0.7,0.685,0.685906
Serbia,0.3,0.5413437507,0.521143278766
Seychelles,0.3,0.3,0.3
Sierra Leone,0.593739601658,0.7,0.69170106289
Singapore,0.3,0.1525,
Sint Maarten (Dutch part),0.3,0.5555,
Slovak Republic,0.3,0.5414388457,0.520602673316
Slovenia,0.693555877853,0.344646774512,0.378595630267
Small states,,,
Solomon Islands,0.3,0.474081625,
Somalia,0.3,0.372560034233,
South Africa,0.466403415957,0.7,0.694276883691
South Asia,,,
South Sudan,0.3,0.7,
Spain,0.105,0.1,0.1002705
Sri Lanka,0.674331232286,0.680307768572,0.679846379971
St. Kitts and Nevis,0.3,0.2505,
St. Lucia,0.3,0.271,
St. Martin (French part),,,
St. Vincent and the Grenadines,0.3,0.2895,
Sub-Saharan Africa (all income levels),,,
Sub-Saharan Africa (developing only),,,
Sudan,0.3,0.7,0.67276
Suriname,0.502651539985,0.7,
Swaziland,0.3,0.3595,0.35709025
Sweden,0.3,0.26083355,0.26456219604
Switzerland,0.3,0.307,0.306468
Syrian Arab Republic,0.3,0.6,0.57696
Tajikistan,0.3,0.159531241181,0.171260382542
Tanzania,0.3,0.542447212715,0.524530363695
Thailand,0.4674824,0.16621885,0.18658426598
Timor-Leste,0.3,0.217434025,0.224939272128
Togo,0.689595439809,0.7,0.699496419287
Tonga,0.3,0.3,
Trinidad and Tobago,0.3,0.3055,
Tunisia,0.56380195,0.1,0.131306631625
Turkey,0.3269435,0.3133165375,0.314106901325
Turkmenistan,0.3,0.567069947115,
Turks and Caicos Islands,0.3,0.2895,
Tuvalu,0.3,0.292,
Uganda,0.3,0.482020596984,0.471445200299
Ukraine,0.648346750981,0.428221628391,0.450696403408
United Arab Emirates,0.3,0.3,
United Kingdom,0.3,0.2615766875,0.263793712631
United States,0.570059622268,0.573231270646,0.573082203172
Upper middle income,,,
Uruguay,0.7,0.40017475,0.415855610575
Uzbekistan,0.3,0.159531241181,0.169982116837
Vanuatu,0.3,0.266,
"Venezuela, RB",0.605685096709,0.7,0.696019911081
Vietnam,0.3,0.2166199,0.22248152103
Virgin Islands (U.S.),0.3,0.312249342304,
West Bank and Gaza,0.3,0.65,0.623015
World,,,
"Yemen, Rep.",0.3,0.3,0.3
Zambia,0.3,0.542447212715,0.5337676025
Zimbabwe,0.466403415957,0.7,
=======
country,vp,vr,v
Afghanistan,0.6999999999999998,0.4549088965878277,
Albania,0.6999999999999998,0.35149999999999987,0.3825164999999999
Algeria,0.5503924,0.10000000000000002,0.14233688560000002
American Samoa,0.3000000000000001,0.27549999999999997,
Andorra,0.10499999999999998,0.10000000000000002,
Angola,0.6999999999999997,0.6,0.6053999999999999
Antigua and Barbuda,0.99,0.7639872512860902,0.7669720704437012
Arab World,,,
Argentina,0.6999999999999998,0.3973657374999999,0.4118921820999999
Armenia,0.2999999999999999,0.2375,0.24262499999999998
Aruba,0.7000000000000002,0.6764212741773348,
Australia,0.6999999999999998,0.5385999999999999,0.5503821999999999
Austria,0.5700000000000001,0.2394999999999999,0.2662704999999999
Azerbaijan,0.2999999999999999,0.2375,0.24275
"Bahamas, The",0.6999999999999998,0.47350000000000003,
Bahrain,0.6999999999999997,0.62725,
Bangladesh,0.6999999999999998,0.4141510725658423,0.43959162710748234
Barbados,0.39799999999999985,0.24700000000000003,
Belarus,0.6999999999999998,0.29499999999999993,0.33347499999999997
Belgium,0.46000000000000013,0.26999999999999996,0.28634
Belize,0.6149237723405151,0.3549667269519282,0.3633113481089018
Benin,0.7000000000000002,0.6734349004145418,0.6742849836012764
Bermuda,0.6999999999999998,0.5265,
Bhutan,0.6999999999999997,0.6738905766438061,0.6756399080086711
Bolivia,0.6999999999999998,0.38885421167860285,0.40067775163481595
Bosnia and Herzegovina,0.6999999999999998,0.4420235935,0.4608558711745
Botswana,0.6999999999999997,0.6416008539893611,0.6432360300776588
Brazil,0.6999999999999997,0.6506628849962744,0.6524390211364085
British Virgin Islands,,,
Brunei Darussalam,0.39486964955708176,0.22297463449207036,
Bulgaria,0.6999999999999998,0.3853306138,0.404210776972
Burkina Faso,0.6999999999999997,0.6734349004145419,0.6756398036801349
Burundi,0.6999999999999998,0.4424472127146907,0.45944569667552104
Cabo Verde,,,
Cambodia,0.6999999999999998,0.20316341249999995,
Cameroon,0.6343680960785822,0.3,0.31504656432353617
Canada,0.39271984947110816,0.27848915166168753,0.28602837771710926
Caribbean small states,,,
Cayman Islands,0.6999999999999998,0.391375828971834,
Central African Republic,0.7000000000000002,0.6348205552960912,0.6369714769713202
Central Europe and the Baltics,,,
Chad,0.7000000000000002,0.6734349004145418,0.6747365902942292
Channel Islands,,,
Chile,0.31309089999999995,0.11518937500000001,0.1246886482
China,0.6999999999999997,0.53495578875,0.543538087735
Colombia,0.5283856,0.2223836,0.233399672
Comoros,0.6999999999999998,0.4424472127146907,0.4540370881425295
"Congo, Dem. Rep.",0.6999999999999997,0.6,0.6054999999999999
"Congo, Rep.",0.6343680960785822,0.3,0.3140434600353004
Costa Rica,0.6999999999999998,0.32104216733095065,0.33733735413571975
Cote d'Ivoire,0.6999999999999997,0.6734349004145419,0.6749491110909129
Croatia,0.6999999999999998,0.44118744909999996,0.45956314021389993
Cuba,0.3,0.14625,
Curacao,,,
Cyprus,0.46490076190476187,0.10000000000000002,0.12773245790476193
Czech Republic,0.6999999999999998,0.4135,0.44129050000000003
Denmark,0.2999999999999999,0.25,0.25455
Djibouti,0.6224866506129807,0.2919383715793353,0.3081352372519839
Dominica,0.9423105123089721,0.63055106420675,0.6423979232346344
Dominican Republic,0.3489973692170466,0.2999999999999999,0.3024988658300693
Early-demographic dividend,,,
East Asia & Pacific,,,
East Asia & Pacific (IDA & IBRD countries),,,
East Asia & Pacific (excluding high income),,,
Ecuador,0.6999999999999997,0.6764212741773349,0.6774823168393548
"Egypt, Arab Rep.",0.6999999999999998,0.5499999999999999,0.56365
El Salvador,0.6999999999999998,0.43999999999999995,0.45585999999999993
Equatorial Guinea,0.6999999999999998,0.3269905140632944,
Eritrea,0.6999999999999997,0.6,
Estonia,0.43421459615058977,0.12597759214313936,0.1475541824236609
Ethiopia,0.6224866506129807,0.2919383715793353,0.3183822339020269
Euro area,,,
Europe & Central Asia,,,
Europe & Central Asia (IDA & IBRD countries),,,
Europe & Central Asia (excluding high income),,,
European Union,,,
Faroe Islands,,,
Fiji,0.5179999999999999,0.22549999999999995,0.24772999999999995
Finland,0.3999999999999998,0.2825,0.29354499999999994
Fragile and conflict affected situations,,,
France,0.5700000000000001,0.2394999999999999,0.26593999999999995
French Polynesia,0.6999999999999998,0.4444999999999999,
Gabon,0.6999999999999998,0.3269905140632944,0.34862506424762324
"Gambia, The",0.6999999999999997,0.6734349004145419,0.6747100251946438
Georgia,0.538522,0.20116745,0.22174607755
Germany,0.2999999999999999,0.24068881249999996,0.24549301868749995
Ghana,0.6999999999999997,0.6973988599523725,0.6975393215149442
Gibraltar,,,
Greece,0.44478322000000003,0.1414014125,0.1593009391425
Greenland,0.3000000000000001,0.26306389999999996,
Grenada,0.3159999999999999,0.26899999999999996,
Guam,0.39486964955708176,0.22297463449207036,
Guatemala,0.5828090559822138,0.10000000000000002,0.12124359846321742
Guinea,0.6999999999999997,0.6849999999999998,0.6861399999999999
Guinea-Bissau,0.6999999999999997,0.6755000000000001,0.6766025
Guyana,0.3439999999999999,0.2845,0.2871775
Haiti,0.9863906994834487,0.22180920481936037,0.2646257685205493
Heavily indebted poor countries (HIPC),,,
High income,,,
Honduras,0.6999999999999998,0.391375828971834,0.4024862991288479
"Hong Kong SAR, China",0.32,0.10000000000000002,
Hungary,0.6999999999999998,0.4351049999999999,0.4552370199999999
IBRD only,,,
IDA & IBRD total,,,
IDA blend,,,
IDA only,,,
IDA total,,,
Iceland,0.3000000000000001,0.25887037499999993,0.26285994862499995
India,0.6999999999999998,0.52221674,0.53697275058
Indonesia,0.3,0.19689564999999998,0.2043191632
"Iran, Islamic Rep.",0.6999999999999998,0.2718316681733372,0.29880627307841695
Iraq,0.6999999999999997,0.6,0.6088
Ireland,0.2999999999999999,0.2662639375,0.26892908643749996
Isle of Man,0.3000000000000001,0.26883326249999995,
Israel,0.6999999999999998,0.5499999999999999,0.5570499999999999
Italy,0.5700000000000001,0.2394999999999999,0.2599909999999999
Jamaica,0.6999999999999998,0.391375828971834,0.4077329100363267
Japan,0.3,0.20477700000000001,0.211823502
Jordan,0.6999999999999998,0.5499999999999999,0.5622999999999999
Kazakhstan,0.43421459615058977,0.12597759214313936,0.15680129254388442
Kenya,0.6999999999999997,0.6,0.6047
Kiribati,0.6999999999999998,0.4444999999999999,0.46136299999999986
"Korea, Dem. People’s Rep.",,,
"Korea, Rep.",0.3,0.20902799999999994,0.21566895599999994
Kosovo,,,
Kuwait,0.6999999999999998,0.4921416590025418,
Kyrgyz Republic,0.6687523001891008,0.1573663400378202,0.2059480062521919
Lao PDR,0.3999999999999998,0.3,0.3076
Late-demographic dividend,,,
Latin America & Caribbean,,,
Latin America & Caribbean (excluding high income),,,
Latin America & the Caribbean (IDA & IBRD countries),,,
Latvia,0.4342145961505898,0.12597759214313936,0.1463212344076311
Least developed countries: UN classification,,,
Lebanon,0.6999999999999998,0.49999999999999994,0.5156
Lesotho,0.6999999999999997,0.6416008539893611,0.6432360300776588
Liberia,0.6999999999999997,0.6734349004145419,0.6755069781822076
Libya,0.6999999999999997,0.6,
Liechtenstein,0.10500000000000004,0.09999999999999998,
Lithuania,0.4734880000000001,0.26252319999999996,0.27518108799999996
Low & middle income,,,
Low income,,,
Lower middle income,,,
Luxembourg,0.3000000000000001,0.25977239999999996,0.26295038039999996
"Macao SAR, China",0.3000000000000001,0.25749999999999995,
"Macedonia, FYR",0.44703279999999995,0.1678388,0.18347366399999998
Madagascar,0.6999999999999998,0.4424472127146907,0.4571277215899533
Malawi,0.6999999999999998,0.4424472127146907,0.4563550632280974
Malaysia,0.39486964955708176,0.22297463449207036,0.23088180518506085
Maldives,0.6999999999999998,0.44449999999999973,0.4608519999999997
Mali,0.6468485499999999,0.10000000000000002,0.14374788400000002
Malta,0.5700000000000001,0.2394999999999999,
Marshall Islands,0.2999999999999999,0.26392675,0.264312733775
Mauritania,0.5845950999999999,0.10000000000000002,0.13682922760000002
Mauritius,0.2999999999999999,0.3,0.3
Mexico,0.6999999999999998,0.32153845,0.34083998904999996
"Micronesia, Fed. Sts.",0.6999999999999998,0.4444999999999999,0.45855249999999986
Middle East & North Africa,,,
Middle East & North Africa (IDA & IBRD countries),,,
Middle East & North Africa (excluding high income),,,
Middle income,,,
Moldova,0.6999999999999998,0.4153083161363591,0.4429234094711323
Monaco,0.5700000000000001,0.2394999999999999,
Mongolia,0.4342145961505898,0.12597759214313933,0.15094478946774284
Montenegro,0.6999999999999998,0.44097396082499996,0.46299117415487495
Morocco,0.6999999999999998,0.2091521875,0.2410572953125
Mozambique,0.48000000000000015,0.2999999999999999,0.30935999999999986
Myanmar,0.3639999999999999,0.3,0.304672
Namibia,0.6999999999999997,0.6416008539893611,0.6435280258077122
Nauru,0.37600000000000006,0.26599999999999996,
Nepal,0.6999999999999998,0.3982813749999999,0.4233240208749999
Netherlands,0.2999999999999999,0.25962989999999997,0.26318246879999996
New Caledonia,0.37600000000000006,0.26599999999999996,
New Zealand,0.2999999999999999,0.24470214250000002,
Nicaragua,0.6999999999999998,0.32104216733095076,0.33999005896440315
Niger,0.6999999999999998,0.103779625,0.15028481424999998
Nigeria,0.6999999999999997,0.6734349004145419,0.6748694157921565
North America,,,
Northern Mariana Islands,0.6999999999999998,0.4444999999999999,
Norway,0.43421459615058977,0.12597759214313936,0.15402715950781737
OECD members,,,
Oman,0.2999999999999999,0.3,
Other small states,,,
Pacific island small states,,,
Pakistan,0.6999999999999998,0.5201834,0.5367265271999999
Palau,0.6999999999999998,0.4444999999999999,
Panama,0.6999999999999997,0.6764212741773349,0.6772465295811281
Papua New Guinea,0.6999999999999998,0.5385999999999999,0.5468313999999997
Paraguay,0.6999999999999998,0.37219014999999994,0.38563035384999994
Peru,0.5791459999999999,0.1434415,0.163483907
Philippines,0.99,0.99,1.9846279072851472
Poland,0.43421459615058977,0.12597759214313936,0.15063655246373542
Portugal,0.10500000000000004,0.09999999999999998,0.10032499999999998
Post-demographic dividend,,,
Pre-demographic dividend,,,
Puerto Rico,0.3489973692170465,0.2999999999999999,
Qatar,0.2999999999999999,0.3,
Romania,0.6999999999999998,0.325110175,0.358475369425
Russian Federation,0.6014665578935485,0.1438537055539877,0.17542899236541737
Rwanda,0.6999999999999997,0.6825,0.68341
Samoa,0.6999999999999998,0.4444999999999999,0.4608519999999999
San Marino,0.5700000000000001,0.2394999999999999,
Sao Tome and Principe,,,
Saudi Arabia,0.2999999999999999,0.3,
Senegal,0.6999999999999997,0.6849999999999998,0.6859149999999998
Serbia,0.6999999999999998,0.4413437507,0.46358818813979996
Seychelles,0.2999999999999999,0.3,0.3
Sierra Leone,0.6999999999999997,0.6734349004145419,0.6755335432817932
Singapore,0.3,0.1525,
Sint Maarten (Dutch part),0.6999999999999998,0.4554999999999999,
Slovak Republic,0.6999999999999998,0.4414388456999999,0.4631579826611999
Slovenia,0.6999999999999998,0.3430357439755195,0.37659038404182066
Small states,,,
Solomon Islands,0.6999999999999998,0.3740816249999999,0.3968959112499999
Somalia,0.6224866506129807,0.2919383715793353,
South Africa,0.6999999999999997,0.6416008539893611,0.643060832639627
South Asia,,,
South Asia (IDA & IBRD),,,
South Sudan,0.6999999999999997,0.6,0.6039
Spain,0.10499999999999998,0.10000000000000002,0.10028500000000001
Sri Lanka,0.6999999999999997,0.6738905766438061,0.6757443457020958
St. Kitts and Nevis,0.3099999999999999,0.24800000000000003,
St. Lucia,0.49747195548439493,0.43448037670552686,0.4377748362756617
St. Martin (French part),,,
St. Vincent and the Grenadines,0.5730586585299089,0.23107203972980198,0.30049532334622364
Sub-Saharan Africa,,,
Sub-Saharan Africa (IDA & IBRD countries),,,
Sub-Saharan Africa (excluding high income),,,
Sudan,0.6999999999999997,0.6,0.6067999999999999
Suriname,0.6999999999999997,0.6506628849962744,
Swaziland,0.5379999999999999,0.2999999999999999,0.30951999999999985
Sweden,0.2999999999999999,0.26083354999999997,0.26435853049999997
Switzerland,0.5700000000000001,0.2394999999999999,0.26560949999999994
Syrian Arab Republic,0.6999999999999998,0.49999999999999994,0.5154
Tajikistan,0.43421459615058977,0.12597759214313936,0.1487871304396907
Tanzania,0.6999999999999998,0.4424472127146907,0.46150611897380356
Thailand,0.644066,0.12207294999999997,0.15809047045
Timor-Leste,0.3,0.217434025,0.224947528725
Togo,0.6999999999999997,0.6973988599523725,0.6975289169547538
Tonga,0.5071577884854748,0.5071577884854748,0.5071577884854748
Trinidad and Tobago,0.6479050570475513,0.3907768169188145,0.4033761006851226
Tunisia,0.56380195,0.10000000000000002,0.13107473065000003
Turkey,0.6999999999999998,0.22005241249999996,0.24788937257499996
Turkmenistan,0.6999999999999998,0.4670699471145441,
Turks and Caicos Islands,0.5579999999999999,0.22499999999999998,
Tuvalu,0.5659999999999998,0.22549999999999995,0.24797299999999994
Uganda,0.6999999999999998,0.3820205969835945,0.4023712787766444
Ukraine,0.6999999999999998,0.4153083161363591,0.4437774845227232
United Arab Emirates,0.2999999999999999,0.3,
United Kingdom,0.3000000000000001,0.2615766874999999,0.26438158931249994
United States,0.7915896877346467,0.5613394405662196,0.5730822031718094
Upper middle income,,,
Uruguay,0.6999999999999998,0.40017474999999997,0.41546583774999996
Uzbekistan,0.43421459615058977,0.12597759214313936,0.1487871304396907
Vanuatu,0.32771681223001226,0.2905755735106109,0.2931011777435302
"Venezuela, RB",0.6999999999999997,0.6764212741773349,0.6771757934036601
Vietnam,0.3,0.2166199,0.2225398871
Virgin Islands (U.S.),0.3489973692170465,0.2999999999999999,
West Bank and Gaza,0.6999999999999998,0.5499999999999999,0.5615499999999999
World,,,
"Yemen, Rep.",0.2999999999999999,0.3,0.3
Zambia,0.6999999999999998,0.4424472127146907,0.4499162435459646
Zimbabwe,0.6999999999999997,0.6416008539893611,0.6449880044579781
>>>>>>> 9566f8fd31cf801f1beb043b731d2e124c3ee4e9
